first_name,last_name,date_of_birth,sex,maths,sci,social,english,hindi,kannada
Divya,Choudhury,21/05/2009,F,65,96,97,80,60,70
Kavya,Pandey,08/08/2009,F,60,64,77,60,40,52
Abhishek,Bhat,22/11/2011,M,49,57,43,66,82,77
Preethi,Sharma,27/02/2009,F,83,79,37,94,78,96
Suresh,Hegde,09/03/2010,M,83,98,63,71,58,69
Shilpa,Kumar,07/03/2010,F,73,81,56,93,89,51
Sunil,Patil,01/03/2011,M,33,40,89,48,89,58
Vivek,Bhat,01/11/2009,M,57,88,76,61,78,70
Divya,Pillai,16/06/2008,F,90,32,41,96,74,63
Aditya,Choudhury,04/03/2008,M,61,55,37,79,49,65
Manoj,Mishra,22/08/2008,M,57,89,67,89,77,56
Sai,Hegde,09/08/2008,M,33,69,83,65,55,44
Sanjay,Pandey,09/09/2009,M,45,35,79,74,84,82
Chethan,Singh,29/11/2009,M,31,83,97,46,85,81
Riya,Shenoy,26/12/2008,F,96,64,96,69,85,69
Vidya,Pillai,26/06/2008,F,65,87,66,88,89,83
Ananya,Naik,27/10/2009,F,53,92,62,62,63,78
Varshini,Pandey,19/07/2009,F,31,96,59,45,60,87
Tejaswini,Choudhury,07/05/2009,F,90,92,92,90,32,46
Vaishnavi,Bhat,17/11/2011,F,61,69,82,70,74,89
Lakshmi,Pandey,18/07/2010,F,64,69,67,54,45,59
Pooja,Das,02/01/2011,F,53,54,62,87,91,70
Neha,Pillai,01/02/2009,F,67,59,81,51,68,36
Alok,Sharma,21/04/2008,M,97,67,51,80,92,48
Sharath,Hegde,19/08/2010,M,91,86,78,51,36,67
Pooja,Pillai,13/05/2008,F,81,92,44,76,36,54
Sharath,Hegde,23/06/2008,M,61,45,88,78,58,83
Rashmi,Hegde,20/04/2011,F,84,69,42,79,42,61
Vivek,Mishra,15/06/2008,M,80,90,77,75,89,95
Kiran,Prabhu,12/11/2011,M,90,67,39,54,66,71
Kavya,Mishra,23/04/2009,F,63,55,89,47,58,54
Riya,Verma,02/05/2008,F,51,69,71,68,45,94
Pallavi,Rao,21/10/2010,F,99,93,91,45,35,90
Varshini,Rao,22/02/2008,F,41,59,37,88,64,40
Manoj,Gowda,27/08/2011,M,86,65,58,77,85,97
Manoj,Deshpande,16/04/2010,M,72,71,48,94,50,77
Shilpa,Hegde,18/09/2011,F,81,100,39,69,41,75
Jyothi,Gupta,07/04/2010,F,95,30,94,66,36,59
Amrutha,Choudhury,17/10/2010,F,86,36,61,57,46,71
Shilpa,Gupta,29/02/2008,F,60,50,74,75,31,87
Abhishek,Verma,20/08/2008,M,89,75,74,81,87,99
Shalini,Naik,14/05/2009,F,88,100,53,64,54,52
Alok,Choudhury,29/04/2010,M,73,94,69,92,30,71
Vanishree,Patil,13/09/2011,F,92,49,92,74,91,79
Tejaswini,Choudhury,17/01/2011,F,78,88,76,95,54,65
Vaishnavi,Menon,21/04/2010,F,35,70,95,85,78,84
